127.0.0.1 - - [20/Mar/2015:12:59:53 -0400] "GET /drupal/install.php HTTP/1.1" 200 4450
127.0.0.1 - - [20/Mar/2015:12:59:54 -0400] "POST /drupal/install.php HTTP/1.1" 302 -
127.0.0.1 - - [20/Mar/2015:12:59:55 -0400] "GET /drupal/install.php?profile=standard HTTP/1.1" 200 5962
127.0.0.1 - - [20/Mar/2015:12:59:56 -0400] "POST /drupal/install.php?profile=standard HTTP/1.1" 302 -
127.0.0.1 - - [20/Mar/2015:12:59:57 -0400] "POST /drupal/install.php?profile=standard&locale=en HTTP/1.1" 302 -
127.0.0.1 - - [20/Mar/2015:13:00:13 -0400] "POST /drupal/install.php?profile=standard&locale=en HTTP/1.1" 200 134
127.0.0.1 - - [20/Mar/2015:13:00:18 -0400] "POST /drupal/install.php?profile=standard&locale=en HTTP/1.1" 200 133
127.0.0.1 - - [20/Mar/2015:13:00:22 -0400] "POST /drupal/install.php?profile=standard&locale=en HTTP/1.1" 200 146
127.0.0.1 - - [20/Mar/2015:13:00:26 -0400] "POST /drupal/install.php?profile=standard&locale=en HTTP/1.1" 200 134
127.0.0.1 - - [20/Mar/2015:13:00:33 -0400] "POST /drupal/install.php?profile=standard&locale=en HTTP/1.1" 200 135
127.0.0.1 - - [20/Mar/2015:13:00:38 -0400] "POST /drupal/install.php?profile=standard&locale=en HTTP/1.1" 200 134
127.0.0.1 - - [20/Mar/2015:13:00:42 -0400] "POST /drupal/install.php?profile=standard&locale=en HTTP/1.1" 200 137
127.0.0.1 - - [20/Mar/2015:13:00:46 -0400] "POST /drupal/install.php?profile=standard&locale=en HTTP/1.1" 200 139
127.0.0.1 - - [20/Mar/2015:13:00:49 -0400] "POST /drupal/install.php?profile=standard&locale=en HTTP/1.1" 200 146
127.0.0.1 - - [20/Mar/2015:13:00:52 -0400] "POST /drupal/install.php?profile=standard&locale=en HTTP/1.1" 200 134
127.0.0.1 - - [20/Mar/2015:13:00:56 -0400] "POST /drupal/install.php?profile=standard&locale=en HTTP/1.1" 200 138
127.0.0.1 - - [20/Mar/2015:13:01:00 -0400] "POST /drupal/install.php?profile=standard&locale=en HTTP/1.1" 200 135
127.0.0.1 - - [20/Mar/2015:13:01:04 -0400] "POST /drupal/install.php?profile=standard&locale=en HTTP/1.1" 200 134
127.0.0.1 - - [20/Mar/2015:13:01:09 -0400] "POST /drupal/install.php?profile=standard&locale=en HTTP/1.1" 200 137
127.0.0.1 - - [20/Mar/2015:13:01:12 -0400] "POST /drupal/install.php?profile=standard&locale=en HTTP/1.1" 200 133
127.0.0.1 - - [20/Mar/2015:13:01:16 -0400] "POST /drupal/install.php?profile=standard&locale=en HTTP/1.1" 200 138
127.0.0.1 - - [20/Mar/2015:13:01:19 -0400] "POST /drupal/install.php?profile=standard&locale=en HTTP/1.1" 200 139
